inspection_id,name,address,postal,lat,lon,date,facility_status,inspection_type,violation_observed,description
3120210708,NORMAN'S ICE CREAM AND FREEZES,2801 LEAVENWORTH ST,94133,37.807155,-122.419004,2021-07-08,PASS,routine,OUT (Not in Compliance),Plumbing; proper backflow devices
4520220630,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-06-30,CLOSURE,routine,Major,Food contact surfaces: clean and sanitized  [ date violation corrected: 7/1/2022 ]
4520220630,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-06-30,CLOSURE,routine,Major,"No insects, rodents, birds or nonservice animals  [ date violation corrected: 7/1/2022 ]"
4520220630,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-06-30,CLOSURE,routine,Major - Corrected on Site,Proper hot and cold holding temperatures  [ date violation corrected: 7/1/2022 ]
4520220630,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-06-30,CLOSURE,routine,OUT (Not in Compliance),"Equipment approved; clean; installed, good repair; capacity  [ date violation corrected: 7/1/2022 ]"
4520220630,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-06-30,CLOSURE,routine,OUT (Not in Compliance),"Equipment, utensils and linens; storage and use"
4520220630,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-06-30,CLOSURE,routine,OUT (Not in Compliance),"Floors, walls and ceiling: build, maintianed & clean"
4520220630,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-06-30,CLOSURE,routine,OUT (Not in Compliance),Food separated and protected  [ date violation corrected: 7/1/2022 ]
4520220630,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-06-30,CLOSURE,routine,OUT (Not in Compliance),Thermometers provided and accurate
4520210211,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2021-02-11,PASS,routine,Minor - Corrected on Site,Food contact surfaces: clean and sanitized  [ date violation corrected: 6/30/2022 ]
4520210211,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2021-02-11,PASS,routine,OUT (Not in Compliance),"Equipment approved; clean; installed, good repair; capacity  [ date violation corrected: 6/30/2022 ]"
4520210216,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2021-02-16,PASS,reinspection/followup,,
4520220701,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-07-01,PASS,reinspection/followup,,
4520220914,CHARLIE'S DELI CAFE,3202 FOLSOM ST,94110,37.747114,-122.413641,2022-09-14,PASS,reinspection/followup,,
5420220308,RHODA GOLDMAN PLAZA,2180 POST ST,94115,37.784626,-122.437734,2022-03-08,PASS,routine,Minor,Adequate hand washing facilities; supplied and accessible  [ date violation corrected: 7/5/2023 ]
5420220308,RHODA GOLDMAN PLAZA,2180 POST ST,94115,37.784626,-122.437734,2022-03-08,PASS,routine,Minor,"Compliance with variance, specialized processes & HACCP  [ date violation corrected: 7/5/2023 ]"
5420220308,RHODA GOLDMAN PLAZA,2180 POST ST,94115,37.784626,-122.437734,2022-03-08,PASS,routine,Minor,Food Safety Manager Certification and Food Handler Card   [ date violation corrected: 7/5/2023 ]
5420220308,RHODA GOLDMAN PLAZA,2180 POST ST,94115,37.784626,-122.437734,2022-03-08,PASS,routine,OUT (Not in Compliance),"Floors, walls and ceiling: build, maintianed & clean  [ date violation corrected: 7/5/2023 ]"
5420220308,RHODA GOLDMAN PLAZA,2180 POST ST,94115,37.784626,-122.437734,2022-03-08,PASS,routine,OUT (Not in Compliance),Food storage; food storage containers identified  [ date violation corrected: 7/5/2023 ]
5420221027,RHODA GOLDMAN PLAZA,2180 POST ST,94115,37.784626,-122.437734,2022-10-27,PASS,routine,Minor,Food contact surfaces: clean and sanitized  [ date violation corrected: 7/5/2023 ]
5420221027,RHODA GOLDMAN PLAZA,2180 POST ST,94115,37.784626,-122.437734,2022-10-27,PASS,routine,Minor,"No insects, rodents, birds or nonservice animals  [ date violation corrected: 7/5/2023 ]"
5420221027,RHODA GOLDMAN PLAZA,2180 POST ST,94115,37.784626,-122.437734,2022-10-27,PASS,routine,OUT (Not in Compliance),"Floors, walls and ceiling: build, maintianed & clean  [ date violation corrected: 7/5/2023 ]"
