permit_number,dba,street_address,lat,lon,inspection_date,inspection_type,facility_rating_status,violation_count,violation_codes,inspection_notes,suspension_notes,analysis_neighborhood,data_as_of
06744403,ANDYTOWN COFFEE ROASTERS,2815 DIAMOND ST,37.73398500000100,-122.4336375000020,2025-06-24,,Pass,,,,,Glen Park,2025-06-27T02:00:10.000
93127,MATKO,1   MARKET PLZ SPC PL24,37.79438926986100,-122.3947550306180,2025-06-25,,Pass,,,,,Financial District/South Beach,2025-06-26T11:57:37.000
06744267,SAGARMATHA KITCHEN,4828 GEARY BLVD,37.78101900000100,-122.4712755000020,2025-06-26,,Pass,,,,,Inner Richmond,2025-06-27T02:00:10.000
06744276,Aim High - Excelsior,450 SOMERSET ST,37.72569600000100,-122.4076815000020,2025-06-24,,Pass,,,,,Portola,2025-06-27T02:00:10.000
06743834,DOPPIO CAFE,1551 MISSION ST,37.77319800000100,-122.4178830000020,2025-06-26,,Conditional Pass,10,"113977 - Discontinue allowing employees to eat, drink, or smoke in any work area., 114250, 114250.1, 114276 - Maintain toilet facilities clean, sanitary, and in good repair. Toilet rooms shall be separated by a well-fitting self-closing door. Toilet tissue shall be provided in a permanently installed dispenser at each toilet. The number of toilet facilities shall be in accordance with local building and plumbing ordinances. Toilet facilities shall be provided for patrons: in establishments where there is onsite consumption of food; with more than 20,000 sq ft.; establishments offering on-site liquor consumption., 114087, 114089, 114090, 114094, 114094.5, 114365.2 - Discontinue misbranding foods to mislead consumers., 113952, 113953.3, 113953.4, 113961, 113973 - Properly wash hands with hand soap and warm water for a minimum of 10 seconds at the hand washing station when beginning work; before handling food/equipment/utensils; as often as necessary during food preparation to remove soil and contamination; switching from working with raw to ready-to-eat foods; after touching body parts; after using toilet room; contamination of hands occurs. Food employees shall minimize contact with exposed, ready-to-eat food with their bare hands and shall use suitable utensils, gloves, or dispensing equipment., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 113967, 113976, 113980, 113988, 113990, 114035, 114254.3, 113975 - Discard all contaminated/adulterated food immediately if it bears or contains any poisonous or deleterious substance that may render it impure or injurious to health., 114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 114047, 114049, 114051, 114053, 114055, 114069(b) - Elevate all food at least 6 inches off of the floor to prevent contamination. Properly label bulk ingredient/food containers with common name., 114002, 114002.1 - Rapidly cool potentially hazardous foods from 135°F to 70°F within 2 hours, then from 70°F to 41°F within 4 hours. Discontinue cooling PHF's at room temperature.  Rapid cool by any of the following approved methods: 1) Ice water bath 2) Ice wand 3) Shallow stainless steel pans filled 2-3 inches and store in refrigerator 4) Separate into smaller or thinner portions and store in refrigerator 5) Blast chiller 6) Any combination of the above. Use the following approved methods provided on the rapid cooling guideline., 113980, 113984 (a, b, d, e, f), 113986, 114060, 114067 (a, d, e), 114069, 114073, 114077, 114089.1(c), 114143(c) - Ensure all food is separated and protected from potential cross contamination. Store produce and ready-to-eat foods completely separate or above raw foods including but not limited to raw eggs, fish, meat, ratites, game animals, and poultry. Provide adequate sneeze-guard protection, a container that has a tight fitting and securely attached lid, or dispense food from an approved mechanical dispenser.",,,Mission,2025-06-27T02:00:10.000
31270,GOLD CLUB SF LLC,650   HOWARD ST,37.78595100000100,-122.3997075000020,2025-06-26,,Pass,,,,,Financial District/South Beach,2025-06-27T02:00:10.000
06744245,BIG JOE'S GOODTIME DELI AND GRILL INC,717 MONTEREY BLVD,37.73124900000100,-122.4516105000020,2025-06-26,,Pass,,,,,West of Twin Peaks,2025-06-27T02:00:10.000
68615,OSHA EXPRESS,1 MARKET ST 21B,37.79386998982800,-122.3948670096670,2025-06-25,,Conditional Pass,7,"113952, 113953.3, 113953.4, 113961, 113973 - Properly wash hands with hand soap and warm water for a minimum of 10 seconds at the hand washing station when beginning work; before handling food/equipment/utensils; as often as necessary during food preparation to remove soil and contamination; switching from working with raw to ready-to-eat foods; after touching body parts; after using toilet room; contamination of hands occurs. Food employees shall minimize contact with exposed, ready-to-eat food with their bare hands and shall use suitable utensils, gloves, or dispensing equipment., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times., 114157, 114159 - Maintain onsite an accurate, easily readable metal probe thermometer suitable for measuring temperature of food shall be available. A display thermometer +/- 2F shall be provided for each hot and cold holding unit of potentially hazardous foods and high temperature warewashing machines., 114067(f, g), 114099, 114099.3, 114099.5, 114101(a), 114101.1, 114101.2, 114103, 114107, 114125) - Provide an approved warewashing facility. Obtain chlorine test strips to monitor chlorine sanitizer solutions and mechanical dishwasher. Obtain quaternary ammonia test strips to monitor quaternary ammonia sanitizer solutions., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 113947 - Provide training to staff regarding safe food handling practices, adequate allergen knowledge and/or assigned duties.",,,Financial District/South Beach,2025-06-26T11:57:37.000
D83269,BGCSF - Sunnydale,1654 SUNNYDALE AVE,37.71268200000100,-122.4182430000020,2025-06-26,,Pass,,,,,Visitacion Valley,2025-06-26T11:57:37.000
12123,TOP LINES PRODUCE INC,720   TOLAND ST,37.74277800000100,-122.4000990000020,2025-06-25,,Pass,,,,,Bayview Hunters Point,2025-06-26T11:57:37.000
29800,PANDA EXPRESS #845,1480   FILLMORE ST,37.78286400000100,-122.4323370000020,2025-06-25,,Pass,,,,,Western Addition,2025-06-26T11:57:37.000
