business_id,business_name,business_address,postal,lat,lon,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",94109,37.786848,-122.421547,19_20171211,2017-12-11,94,Routine - Unscheduled,19_20171211_103144,Unapproved or unmaintained equipment or utensils,Low Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",94109,37.786848,-122.421547,19_20171211,2017-12-11,94,Routine - Unscheduled,19_20171211_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",94109,37.786848,-122.421547,19_20180607,2018-06-07,96,Routine - Unscheduled,19_20180607_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",94104,37.792888,-122.403135,24_20171101,2017-11-01,98,Routine - Unscheduled,24_20171101_103139,Improper food storage,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",94104,37.792888,-122.403135,24_20190501,2019-05-01,98,Routine - Unscheduled,24_20190501_103150,Improper or defective plumbing,Low Risk
31,Norman's Ice Cream and Freezes,2801 Leavenworth St,94133,37.807155,-122.419004,31_20180615,2018-06-15,96,Routine - Unscheduled,31_20180615_103145,Improper storage of equipment utensils or linens,Low Risk
31,Norman's Ice Cream and Freezes,2801 Leavenworth St,94133,37.807155,-122.419004,31_20180615,2018-06-15,96,Routine - Unscheduled,31_20180615_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
31,Norman's Ice Cream and Freezes,2801 Leavenworth St,94133,37.807155,-122.419004,31_20190702,2019-07-02,94,Routine - Unscheduled,31_20190702_103129,Insufficient hot water or running water,Moderate Risk
31,Norman's Ice Cream and Freezes,2801 Leavenworth St,94133,37.807155,-122.419004,31_20190702,2019-07-02,94,Routine - Unscheduled,31_20190702_103150,Improper or defective plumbing,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20180529,2018-05-29,88,Routine - Unscheduled,45_20180529_103154,Unclean or degraded floors walls or ceilings,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20180529,2018-05-29,88,Routine - Unscheduled,45_20180529_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20180529,2018-05-29,88,Routine - Unscheduled,45_20180529_103147,Inadequate ventilation or lighting,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20180529,2018-05-29,88,Routine - Unscheduled,45_20180529_103142,Unclean nonfood contact surfaces,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20180529,2018-05-29,88,Routine - Unscheduled,45_20180529_103131,Moderate risk vermin infestation,Moderate Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20170307,2017-03-07,88,Routine - Unscheduled,45_20170307_103142,Unclean nonfood contact surfaces,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20170307,2017-03-07,88,Routine - Unscheduled,45_20170307_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20170307,2017-03-07,88,Routine - Unscheduled,45_20170307_103154,Unclean or degraded floors walls or ceilings,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20170307,2017-03-07,88,Routine - Unscheduled,45_20170307_103157,Food safety certificate or food handler card not available,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20170307,2017-03-07,88,Routine - Unscheduled,45_20170307_103131,Moderate risk vermin infestation,Moderate Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20170914,2017-09-14,85,Routine - Unscheduled,45_20170914_103154,Unclean or degraded floors walls or ceilings,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20170914,2017-09-14,85,Routine - Unscheduled,45_20170914_103142,Unclean nonfood contact surfaces,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20170914,2017-09-14,85,Routine - Unscheduled,45_20170914_103120,Moderate risk food holding temperature,Moderate Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20170914,2017-09-14,85,Routine - Unscheduled,45_20170914_103114,High risk vermin infestation,High Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20190404,2019-04-04,92,Routine - Unscheduled,45_20190404_103161,Low risk vermin infestation,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20190404,2019-04-04,92,Routine - Unscheduled,45_20190404_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,94110,37.747114,-122.413641,45_20190404,2019-04-04,92,Routine - Unscheduled,45_20190404_103120,Moderate risk food holding temperature,Moderate Risk
48,ART'S CAFE,747 IRVING St,94122,37.764013,-122.465749,48_20180216,2018-02-16,94,Routine - Unscheduled,48_20180216_103120,Moderate risk food holding temperature,Moderate Risk
48,ART'S CAFE,747 IRVING St,94122,37.764013,-122.465749,48_20180216,2018-02-16,94,Routine - Unscheduled,48_20180216_103154,Unclean or degraded floors walls or ceilings,Low Risk
48,ART'S CAFE,747 IRVING St,94122,37.764013,-122.465749,48_20181011,2018-10-11,87,Routine - Unscheduled,48_20181011_103154,Unclean or degraded floors walls or ceilings,Low Risk
48,ART'S CAFE,747 IRVING St,94122,37.764013,-122.465749,48_20181011,2018-10-11,87,Routine - Unscheduled,48_20181011_103114,High risk vermin infestation,High Risk
48,ART'S CAFE,747 IRVING St,94122,37.764013,-122.465749,48_20181011,2018-10-11,87,Routine - Unscheduled,48_20181011_103120,Moderate risk food holding temperature,Moderate Risk
54,RHODA GOLDMAN PLAZA,2180 POST St,94115,37.784626,-122.437734,54_20180703,2018-07-03,94,Routine - Unscheduled,54_20180703_103120,Moderate risk food holding temperature,Moderate Risk
54,RHODA GOLDMAN PLAZA,2180 POST St,94115,37.784626,-122.437734,54_20180703,2018-07-03,94,Routine - Unscheduled,54_20180703_103150,Improper or defective plumbing,Low Risk
